cn,"default_container",description,"direct_user_rights","group_scope","inherited_user_rights","obj_type","special_note","type_flag"
"access control assistance operators","Built-in container","Members of this group can remotely query authorization attributes and permissions for resources on this computer.",None,"Domain-local","Access this computer from the network; Add workstations to domain;Bypass traverse checking:Increase a process working set)",group,"Active Directory in Windows Server 2012","built-in"
"account operators","Built-in container","Members can administer domain user and group accounts.",None,"Domain-local","Access this computer from the network;Add workstations to domain;Bypass traverse checking;Increase a process working set;Built-in account for administering the domain.",group,NA,"built-in"
administrators,"Built-in container","Administrators have complete and unrestricted access to the domain.","Access this computer from the network;Adjust memory quotas for a process;Allow log on locally;Allow log on through Remote Desktop Services;Back up files and directories;Bypass traverse checking;Change the system time;Change the time zone;Create a pagefile;Create global objects;Create symbolic links;Debug programs;Enable computer and user accounts to be trusted for delegation;Force shutdown from a remote system;Impersonate a client after authentication;Increase scheduling priority;Load and unload device drivers;Log on as a batch job;Manage auditing and security log;Modify firmware environment values;Perform volume maintenance tasks;Profile single process;Profile system performance;Remove computer from docking station;Restore files and directories;Shut down the system;Take ownership of files or other objects","Domain-local","Access this computer from the network;Add workstations to domain;Bypass traverse checking;Increase a process working set",group,NA,"built-in"
"allowed rodc password replication group","Users container","Members in this group can have their passwords replicated to all read-only domain controllers in the domain.",None,"Domain-local","Access this computer from the network;Add workstations to domain;Bypass traverse checking;Increase a process working set",group,NA,"built-in"
"backup operators","Built-in container","Backup Operators can override security restrictions for the sole purpose of backing up or restoring files.","Allow log on locally;Back up files and directories;Log on as a batch job;Restore files and directories;Shut down the system","Domain-local","Access this computer from the network;Add workstations to domain;Bypass traverse checking;Increase a process working set)",group,NA,"built-in"
"cert publishers","Users container","Members of this group are permitted to publish certificates to the directory.",None,"Domain-local","Access this computer from the network;Add workstations to domain;Bypass traverse checking;Increase a process working set",group,NA,"built-in"
"certificate service dcom access","Built-in container","If Certificate Services is installed on a domain controller (not recommended), this group grants DCOM enrollment access to Domain Users and Domain Computers.",None,"Domain-local","Access this computer from the network;Add workstations to domain;Bypass traverse checking;Increase a process working set",group,NA,"built-in"
"cloneable domain controllers","Users container","Members of this group that are domain controllers may be cloned.,",None,Global,"Access this computer from the network;Add workstations to domain;Bypass traverse checking;Increase a process working set",group,"AD DS in Windows Server 2012AD DS","built-in"
"cryptographic operators","Built-in container","Members are authorized to perform cryptographic operations.",None,"Domain-local","Access this computer from the network;Add workstations to domain;Bypass traverse checking;Increase a process working set",group,NA,"built-in"
"dhcp administrators","Users container","Members of this group have administrative access to the DHCP Server service.",None,"Domain-local","Access this computer from the network;Add workstations to domain;Bypass traverse checking;Increase a process working set",group,NA,"built-in"
"dhcp users","Users container","Members of this group have view-only access to the DHCP Server service.",None,"Domain-local","Access this computer from the network;Add workstations to domain;Bypass traverse checking;Increase a process working set",group,NA,"built-in"
"debugger users",NA,"The presence of a Debugger Users group indicates that debugging tools have been installed on the system at some point, whether via Visual Studio, SQL, Office, or other applications that require and support a debugging environment. This group allows remote debugging access to computers. When this group exists at the domain level, it indicates that a debugger or an application that contains a debugger has been installed on a domain controller.",None,NA,None,group,"This is neither a default nor a built-in group, but when present in AD DS, is cause for further investigation.","potential_security"
"denied rodc password replication group","Users container","Members in this group cannot have their passwords replicated to any read-only domain controllers in the domain.",None,"Domain-local","Access this computer from the network;Add workstations to domain;Bypass traverse checking;Increase a process working set",group,NA,"built-in"
"distributed com users","Built-in container","Members of this group are allowed to launch, activate, and use distributed COM objects on this computer.",None,"Domain-local","Access this computer from the network;Add workstations to domain;Bypass traverse checking;Increase a process working set",group,NA,"built-in"
dnsadmins,"Users container","Members of this group have administrative access to the DNS Server service.",None,"Domain-local","Access this computer from the network;Add workstations to domain;Bypass traverse checking;Increase a process working set",group,NA,"built-in"
dnsupdateproxy,"Users container","Members of this group are DNS clients who are permitted to perform dynamic updates on behalf of clients that cannot themselves perform dynamic updates. Members of this group are typically DHCP servers.",None,Global,"Access this computer from the network;Add workstations to domain;Bypass traverse checking;Increase a process working set",group,NA,"built-in"
"domain admins","Users container","Designated administrators of the domain; Domain Admins is a member of every domain-joined computer's local Administrators group and receives rights and permissions granted to the local Administrators group, in addition to the domain's Administrators group.","None,",Global,"(Access this computer from the network;Add workstations to domain;Adjust memory quotas for a process;Allow log on locally;Allow log on through Remote Desktop Services;Back up files and directories;Bypass traverse checking;Change the system time;Change the time zone;Create a pagefile;Create global objects;Create symbolic links;Debug programs;Enable computer and user accounts to be trusted for delegation;Force shutdown from a remote system;Impersonate a client after authentication;Increase a process working set;Increase scheduling priority;Load and unload device drivers;Log on as a batch job;Manage auditing and security log;Modify firmware environment values;Perform volume maintenance tasks;Profile single process;Profile system performance;Remove computer from docking station;Restore files and directories;Shut down the system;Take ownership of files or other objects",group,NA,"built-in"
"domain computers","Users container","All workstations and servers that are joined to the domain are by default members of this group. - Default",None,Global,"Access this computer from the network;Add workstations to domain;Bypass traverse checking;Increase a process working set)",group,NA,"built-in"
"domain controllers","Users container","All domain controllers in the domain. Note: Domain controllers are not a member of the Domain Computers group.",None,Global,"Access this computer from the network;Add workstations to domain;Bypass traverse checking;Increase a process working set)",group,NA,"built-in"
"domain guests","Users container","All guests in the domain",None,Global,"Access this computer from the network;Add workstations to domain;Bypass traverse checking;Increase a process working set)",group,NA,"built-in"
