scenario_id,scenario_name,entity,entity_type,domain,risk_type,expected_detection,mitre_technique_id,severity,notes
AD-CV-001,Admin account bulk user-object modification burst,corp\adm_jhalloran,user,corp,change_velocity,true,T1098,high,Injected: 320 user-object modifications in one day against a 30-day baseline of 3-6. Primary change-velocity positive; should score near 1.0.
AD-CV-002,Service account sudden group-write spike,corp\svc_hrsync,user,corp,change_velocity,true,T1098,medium,Injected: HR sync identity writes to 47 groups in one day; baseline is attribute-only updates. Tests that a service account with a stable baseline is still scored.
AD-CV-003,Off-hours mass OU and GPO restructure,corp\adm_kpatel,user,corp,change_velocity,true,T1484,high,Injected: 88 OU/GPO edits between 02:00 and 04:00 Saturday. Exercises the off_hours_ratio feature as well as raw volume.
AD-CV-004,Compromised helpdesk account mass password reset,corp\hd_mrivera,user,corp,change_velocity,true,T1098,high,Injected: 210 EventCode 4724 resets in 40 minutes. Volume and dc_targets both far outside baseline.
AD-CV-005,Bulk computer object deletion,corp\adm_tnguyen,user,corp,change_velocity,true,T1098,high,Injected: 135 computer objects deleted in one window; act_deleted dominates the action mix.
AD-CV-006,Delegated OU admin mass group additions,corp\del_ou_mfg,user,corp,change_velocity,true,T1098,medium,Injected: delegated admin adds 60 service accounts to groups outside its delegated OU. Lower absolute volume; tests sensitivity at the low end.
AD-CV-101,Quarterly automated provisioning batch,corp\svc_idm_provision,user,corp,change_velocity,false,N/A,none,Benign high volume by design: ~900 objects created every quarter-end. Recurs inside the 30-day training window so the fitted distribution should absorb it. A detection here is a false positive.
AD-CV-102,Steady-state helpdesk password resets,corp\hd_agarcia,user,corp,change_velocity,false,N/A,none,"Benign: 40-70 resets every working day, near-zero off-hours. Classic high-but-stable volume account."
AD-CV-103,Nightly HR to AD attribute sync,corp\svc_hrsync_nightly,user,corp,change_velocity,false,N/A,none,Benign: runs 23:50 nightly so off_hours_ratio is permanently 1.0. Tests that off-hours alone does not drive a detection.
AD-CV-104,New administrator first-week ramp,corp\adm_lchen,user,corp,change_velocity,false,N/A,none,"Cold start: account has only 5 days of feature rows. The fit search drops accounts with fewer than 7 observed days, so this must produce no score at all."
AD-CV-105,Domain controller promotion maintenance window,corp\adm_wsimms,user,corp,change_velocity,false,N/A,none,"Benign: change-approved DC promotion generates a one-day burst that is present in the labeled corpus as an approved change. Expected false positive source; documented, not suppressed."
AD-PG-001,Service account interactive logon,svc_sql_prod,user,corp,peer_logon_deviation,true,T1078.002,high,Injected: account whose peer cluster is 100% Service/Batch logons produces 6 Interactive (type 2) logons. Highest-signal peer deviation case.
AD-PG-002,Desktop user sudden RDP fan-out,u_dsimmons,user,corp,peer_logon_deviation,true,T1021.001,high,Injected: standard desktop user opens Remote Interactive sessions to 14 servers in one day; r_remote_interactive and log_dest_hosts both spike.
AD-PG-003,Service account authentication pattern shift,svc_iis_app,user,corp,peer_logon_deviation,true,T1558.003,medium,Injected: burst of 4768/4771 events with an elevated failure ratio against an otherwise silent service principal.
AD-PG-004,Batch logon type appears for a human administrator,adm_rbaptiste,user,corp,peer_logon_deviation,true,T1078.002,medium,"Injected: scheduled-task (type 4) logons under an interactive admin identity - persistence-shaped, low volume, deliberately near the detection floor."
AD-PG-005,Off-hours cleartext network logons,u_pkowalski,user,corp,peer_logon_deviation,true,T1078.002,high,Injected: Network Cleartext (type 8) logons at 03:00; r_network_cleartext is zero for the whole peer cluster.
AD-PG-101,"Travelling executive, new source region",u_bwhitfield,user,corp,peer_logon_deviation,false,N/A,none,"Benign: source hosts and IPs change but the logon-type mix is unchanged. The model is deliberately behavioural, not geographic, so this must not score."
AD-PG-102,New hire inside first 30 days,u_nnakamura,user,corp,peer_logon_deviation,false,N/A,none,"Cold start: fewer than 7 observed days, so the fit excludes the account. Detection here indicates the days_observed guard has regressed."
AD-PG-103,Seasonal contractor ETL account,svc_seasonal_etl,user,corp,peer_logon_deviation,false,N/A,none,"Benign: dormant for 20 days then 10 days of Batch logons. Volume changes, logon-type ratios do not."
AD-PG-104,Helpdesk RDP support rotation,hd_agarcia,user,corp,peer_logon_deviation,false,N/A,none,"Benign: routine Remote Interactive sessions to many desktops - the whole helpdesk peer cluster looks like this, so peer_z should stay low."
AD-PG-105,Backup agent nightly service logons,svc_backup_agent,user,corp,peer_logon_deviation,false,N/A,none,"Benign: 100% Service logons, 100% off-hours, high host fan-out - extreme in absolute terms but typical for its cluster. Tests peer-relative rather than absolute scoring."
AD-PP-001,User added directly to Domain Admins,u_ecarvalho,user,corp,priv_path_change,true,T1098,critical,Injected: new_reach at min_depth 1. Highest weighted privilege-path case (depth weight 1.0 x change weight 1.0).
AD-PP-002,Application owner group nested under Enterprise Admins,grp_app_owners,group,corp,priv_path_change,true,T1484,critical,"Injected: a populated group is nested one level below a Tier-0 group, granting 23 members effective Tier-0 in a single change."
AD-PP-003,Distribution list nested into Account Operators,grp_dl_facilities,group,corp,priv_path_change,true,T1098,high,Injected: distribution list used as a security path - the nesting case the deterministic critical-group searches miss.
AD-PP-004,Privilege path depth decreased three to one,svc_deploy,user,corp,priv_path_change,true,T1098,high,"Injected: deployment account moved from a 3-hop nested path to direct membership. Tests the depth_decreased classification, not new_reach."
AD-PP-005,Critical group reach increased,adm_kpatel,user,corp,priv_path_change,true,T1098,medium,Injected: account already reachable to one Tier-0 group gains two more. Tests the reach_increased classification (change weight 0.6).
AD-PP-006,Second-tier backup operators group re-parented,grp_backup_ops_l2,group,corp,priv_path_change,true,T1484,high,Injected: nested group re-parented under Backup Operators at depth 2. Tests depth-2 scoring (depth weight 0.75).
AD-PP-101,"Established Tier-0 administrator, no change",adm_root_ops,user,corp,priv_path_change,false,N/A,none,"Benign: permanent Domain Admins member across the whole corpus window. Classified unchanged, so no risk row should ever be written."
AD-PP-102,"Group renamed, nesting unchanged",grp_srv_ops_renamed,group,corp,priv_path_change,false,N/A,none,"Benign: CN changes but the DN-keyed path and depth do not. The baseline diff is keyed on entity_dn, so a rename must not read as a new path."
AD-PP-103,Member removed from a critical group,u_jfoster,user,corp,priv_path_change,false,N/A,none,"Benign for this model: privilege reduction. Depth increases or reach drops, which is not one of the three alerting classifications."
AD-PP-104,Non-privileged nested group churn,grp_proj_alpha,group,corp,priv_path_change,false,N/A,none,"Benign: heavy nesting churn with no path to any critical or adminCount=1 group, so the seed set never reaches it."
AD-PP-105,Cold-start baseline seeding run,u_seed_firstrun,user,corp,priv_path_change,false,N/A,none,Cold start: the very first PrivPath run against an empty baseline must write zero risk rows. Entity exists in the corpus with a depth-2 path to a critical group from day one; the promotion-only first run must not classify it as new_reach.
